grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
THEATRE EVASION ,1,THEATRE EVASION ,0,low,2014,january,monday,2014
ASSOCIATION DES AMIS DU COUVENT DES CLARISSES DE ROUBAIX ,2,ASSOCIATION DES AMIS DU COUVENT DES CLARISSES DE ROUBAIX ,500,low,2014,january,monday,2014
CHORALE DE L'EUROPE ,3,CHORALE DE L'EUROPE ,1417,low,2014,january,monday,2014
CHOEURS CHANTE VIE,4,CHŒURS CHANTE VIE,1860,low,2014,january,monday,2014
CHOR&US ,5,CHOR&US ,1860,low,2014,january,monday,2014
DA MAS -DANSE PLUS- ,6,DA MAS -DANSE PLUS- ,1860,low,2014,january,monday,2014
SOCIETE D'EMULATION DE ROUBAIX ,7,SOCIETE D'EMULATION DE ROUBAIX ,1860,low,2014,january,monday,2014
ESPACE CULTUREL BERBERE EUROPEEN  AFUS DEG WFUS,8,ESPACE CULTUREL BERBERE EUROPEEN AFUS DEG WFUS,2790,low,2014,january,monday,2014
LA PLUS PETITE GALERIE DU MONDE ... OU PRESQUE ,9,LA PLUS PETITE GALERIE DU MONDE ... OU PRESQUE ,2790,low,2014,january,monday,2014
ASSOCIATION DES COMPAGNONS DE L'EGLISE ST JOSEPH DE ROUBAIX ,10,ASSOCIATION DES COMPAGNONS DE L'EGLISE ST JOSEPH DE ROUBAIX ,3488,low,2014,january,monday,2014
ESPACE CULTUREL BERBERE EUROPEEN  AFUS DEG WFUS,11,ESPACE CULTUREL BERBERE EUROPEEN AFUS DEG WFUS,3578,low,2014,january,monday,2014
OEIL OMBRE ECLAIR IMAGE ET LUMIERE ,12,OEIL OMBRE ECLAIR IMAGE ET LUMIERE ,3608,low,2014,january,monday,2014
CHOREA ,13,CHOREA ,4003,low,2014,january,monday,2014
BUREAU D'ART ET DE RECHERCHE DE ROUBAIX ,14,BUREAU D'ART ET DE RECHERCHE DE ROUBAIX ,4185,low,2014,january,monday,2014
LA CHAPELLE DES FLANDRES ,15,LA CHAPELLE DES FLANDRES ,4866,low,2014,january,monday,2014
CHOREA ,16,CHOREA ,5952,low,2014,january,monday,2014
ASSOCIATION DES CONSERVATEURS DES MUSEES DU NORD ET DU PAS-DE- CALAIS ,17,ASSOCIATION DES CONSERVATEURS DES MUSEES DU NORD ET DU PAS-DE- CALAIS ,6197,low,2014,january,monday,2014
OEIL OMBRE ECLAIR IMAGE ET LUMIERE ,18,OEIL OMBRE ECLAIR IMAGE ET LUMIERE ,7265,low,2014,january,monday,2014
DANS LA RUE LA DANSE ,19,DANS LA RUE LA DANSE ,7440,low,2014,january,monday,2014
THEATRE TOUS AZIMUTS ,20,THEATRE TOUS AZIMUTS ,7440,low,2014,january,monday,2014
CENTRE CULTUREL DU MONDE ARABE ,21,CENTRE CULTUREL DU MONDE ARABE ,7536,low,2014,january,monday,2014
TEC CRIAC TRAVAIL ET CULTURE CENTRE DE RECHERCHE D'INNOVATION ARTISTIQUE ET CULTURELLE DU MONDE DU TRAVAIL ,22,TEC CRIAC TRAVAIL ET CULTURE CENTRE DE RECHERCHE D'INNOVATION ARTISTIQUE ET CULTURELLE DU MONDE DU TRAVAIL ,7678,low,2014,january,monday,2014
